idx,arm,current_mr,mr,delta_mr,instr_len,query,query_title_hits,instr_title_hits,risky_instr_title_hits,suspicious,question,instruction_excerpt
6,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,1.0,1.0,1647,Shenandoah River infobox states Harpers Ferry Potomac Virginia West Virginia,Shenandoah River,Shenandoah River,,,Smith Creek is a 35.5 mi tributary stream of the North Fork of a river that passes through which US states?,"Given the fields question and summary_1, produce the field query optimized for the second hop. Generate one compact, entity-first BM25-style keyword query (single-line, minimal stopwords, no natural-language question phrasing) that retrieves an authoritative river-level article or fork-level lead/infobox that explicitly lists the U.S. states the river passes through. Instructions: - Use the summary to detect the missing link: connect Smith Creek → North Fork of the Shenandoah → Shenandoah ..."
6,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,0.0,0.0,4158,North Fork Shenandoah Harpers Ferry states,,Shenandoah River,,,Smith Creek is a 35.5 mi tributary stream of the North Fork of a river that passes through which US states?,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi‑hop retrieval system. Generate one compact, keyword-style BM25 query (no question words, no sentence punctuation) that retrieves the main river-level article or infobox/course section needed to answer the question. Apply the following ordered local edit program (execute steps in order; later steps overwrite earlier choices when triggered): 1) If the current hop-2 query mixes a ..."
55,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,1.0,1.0,3059,Amsterdam capital Netherlands Amsterdamned 1988 Dutch film,Amsterdamned,Amsterdamned,,,What culture do both the Capital of the Netherlands and Amsterdamned have in common?,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi‑hop retrieval system. Your goal is one compact BM25-style query (single bag-of-words / short ordered token set) that retrieves authoritative metadata/lede/infobox lines to confirm whether two entities share the same national/cultural label. Follow these ordered rules (apply in sequence): 1) Primary film-metadata step (use when you need to verify the film’s nationality as an ..."
55,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,1.0,1.0,1378,Amsterdam capital Netherlands Amsterdamned Dutch film,Amsterdamned,Amsterdamned; Capital of the Netherlands,,,What culture do both the Capital of the Netherlands and Amsterdamned have in common?,"Given the fields question and summary_1, produce the field query optimized for the second hop of a multi-hop retrieval system. Generate one compact BM25-style query that retrieves short lede/infobox lines confirming the shared culture/national label between the two named entities in the summary. Preserve sample-specific anchors and the ordered local edit program: place the Amsterdam anchor first with an adjacent role/country token, then the Amsterdamned anchor with an adjacent ..."
77,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,1.0,0.0,4418,"Buddy Valastro owner ""Carlo's Bake Shop",Carlo's Bake Shop,Carlo's Bake Shop,,wikipedia,"The winner of the first season of ""Next Great Baker"" would win an apprenticeship at the bakery owned by who?","Given the fields question and summary_1, produce a single compact BM25-style query optimized for the second hop of a multi-hop retrieval system. Your goal is to retrieve additional authoritative documents that the first hop missed; preserve sample-specific anchors from the summary and follow the ordered local edit program below (order matters). Behavior (apply edits in order): 1) Target season-level prize wording when season/prize evidence is missing: - Trigger: If the summary or first-hop ..."
77,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,1.0,0.0,1948,Next Great Baker season 1 apprenticeship Buddy Valastro Carlo's Bake Shop owner Wikipedia,Carlo's Bake Shop,Carlo's Bake Shop,,wikipedia,"The winner of the first season of ""Next Great Baker"" would win an apprenticeship at the bakery owned by who?","Given the fields question and summary_1, produce a single compact BM25-style second-hop query (one short token sequence) that will retrieve a concise ownership statement naming who owns Carlo's Bake Shop. Apply the ordered local edits below when constructing the query: 1) Anchor to the show/prize context first to preserve the sample-level intent: include the show title and season marker and the prize context in your reasoning (Next Great Baker → season 1 → apprenticeship → Carlo's Bake Shop) ..."
60,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,1.0,1.0,3891,Hubble Space Telescope launch year Wikipedia,Hubble Space Telescope,Hubble Space Telescope,,wikipedia,The telescope that observed the debris disk of HD 92945 was launched into low Earth orbit in what year?,"Given the fields `question` and `summary_1`, produce a single compact BM25-style second-hop query (the `query` field) that retrieves the specific launch-year/date fact needed. Follow this ordered edit program exactly (apply steps in sequence; later steps override earlier ones when their triggers match): 1) Default — entity-first, authority-hinted (apply when the user asks for a telescope/spacecraft launch date or launch year): - Construct an entity-centric query that places the telescope ..."
60,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,0.0,0.0,1806,STS-31 launch date,,HD 92945; Hubble Space Telescope,,,The telescope that observed the debris disk of HD 92945 was launched into low Earth orbit in what year?,"Given the fields question and summary_1, produce one compact second‑hop BM25 query (the value for `query`) that retrieves a concise launch-year/date statement for the telescope that observed HD 92945’s debris disk. Follow the ordered edit program below when constructing the single-line query (apply steps in order): 1) Preserve these concrete anchors when present: Hubble Space Telescope, STS-31, Space Shuttle Discovery. 2) Primary preference (front‑load mission): if the summary includes a ..."
82,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,0.0,-1.0,4506,"Clay County Savings Association Building robbers Liberty Missouri 1866 former Confederate guerrillas bushwhackers
guerrilla definition Civil War Missouri",Clay County Savings Association Building; Bushwhacker,Clay County Savings Association Building; Bushwhacker,,,"What type of criminals, named after a term from the Revolutionary War, were involved in the Clay County Savings Association Building robbery?","Given fields question, summary_1, and the current_query, produce a second‑hop BM25 query (or, when the summary requests confirmation of the exact one‑word label used for the perpetrators, emit two compact BM25 queries in strict sequence) optimized to retrieve short, authoritative lead/definition lines needed to close gaps from the first hop. Primary role (default): generate one compact, title‑anchored second‑hop BM25 query that refines the original retrieval to fetch additional relevant ..."
82,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,0.0,-1.0,1212,"Clay County Savings robbery"" Liberty Missouri 1866 robbers ""former Confederate guerrillas"" bushwhackers partisans lead",Bushwhacker,Clay County Savings Association Building; Bushwhacker,,,"What type of criminals, named after a term from the Revolutionary War, were involved in the Clay County Savings Association Building robbery?","Given the fields question and summary_1, produce a single compact second‑hop BM25 query (roughly 6–12 tokens) that prioritizes the robbery article lead and short definition/usage lines rather than long biographies. Follow this ordered shape: 1) event anchor first — ""Clay County Savings Association Building robbery"" (or ""Clay County Savings Association robbery""); 2) place/state/date as short tokens (Liberty Missouri 1866) to prefer the local article; 3) an explicit label cue such as robbers ..."
90,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,0.0,-1.0,1803,Imiliya Kapilvastu Lumbini Mayadevi UNESCO,Imiliya; Lumbini,Imiliya; Lumbini,,wikipedia,Imiliya is a town located in what pilgrimage site?,"Given the fields question and summary_1, produce the single field query: one compact BM25-style query (a single line of concise, space‑separated tokens) optimized for the second hop. Goal: retrieve authoritative lines that (a) confirm Lumbini’s status as the Buddhist pilgrimage site/birthplace of Siddhartha Gautama and list its core landmarks, and (b) place Imiliya administratively in Kapilvastu or state its proximity to Lumbini landmarks. Instructions for constructing the query: - Emit ..."
90,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,1.0,0.0,2855,Imiliya Kapilvastu Lumbini Mayadevi Temple pilgrimage,Imiliya; Lumbini,Imiliya; Lumbini,,,Imiliya is a town located in what pilgrimage site?,"Given the fields question, summary_1, and current query, produce one compact BM25-style second-hop query (a single short conjunctive bag of keywords) that retrieves authoritative, encyclopedic or institutional sources proving the pilgrimage status and/or the town’s placement in the pilgrimage area. Preserve the goal of a focused second-hop query and follow these ordered edit rules (apply in sequence): 1) Detect noisy map/gazetteer tokens: if the current query contains explicit ..."
108,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,1.0,1.0,3020,Solo (Australian soft drink) country of origin,,,,wikipedia,Are Solo and La Croix Sparkling Water produced in the same country ?,"Given the fields `question` and `summary_1`, produce a single compact BM25-style `query` optimized for the second hop of a multi-hop retrieval system that will retrieve additional relevant documents not captured in the first hop. Your role is to generate one concise query (not an answer) that targets the missing entity or disambiguation needed to compare production/origin facts (e.g., to determine whether Solo and La Croix are produced in the same country). Preserve the target entity name ..."
108,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,1.0,1.0,1323,Solo (soft drink) Australian origin infobox,,,,,Are Solo and La Croix Sparkling Water produced in the same country ?,"Given the fields `question` and `summary_1`, produce one compact BM25-style second-hop query optimized to retrieve a short lead/infobox statement about the production country for the missing entity. Follow the ordered edits below when constructing the query: 1) Anchor on the canonical, disambiguated product title (e.g., Solo or Solo (soft drink)) and a geographic sense token (Australian / Australian soft drink). 2) Remove manufacturer and global-brand tokens that cause company pages to ..."
118,prompt_update_onecall_R_to_q_to_p_steps_4,0.5,1.0,0.5,3012,Third Person 2013 cast starring actress; From Here to Eternity 1979 cast starring actress,,,,imdb; wikipedia,"What acress starred in both ""Third Person"" and ""From Here to Eternity""?","Given the fields question and summary_1, produce the field query optimized for the second-hop of a multi-hop retrieval: a single compact BM25 query string (one text field) that may contain two semicolon-separated subqueries targeting authoritative title cast pages. Follow this ordered, version-aware program exactly: 1) Disambiguate Third Person first (only if necessary): if the summary or initial retrieval is ambiguous about which ""Third Person"" is meant, run a quick disambiguation step ..."
118,prompt_update_twoturn_R_to_q_then_p_steps_4,0.5,0.0,-0.5,1480,Third Person (2013 film) cast starring top-billed actresses site:en.wikipedia.org OR site:imdb.com; From Here to Eternity (1953 film) cast starring top-billed actresses site:en.wikipedia.org OR site:imdb.com; From Here to Eternity (1979 miniseries) cast starring top-billed actresses site:en.wikipedia.org OR site:imdb.com,,,,site:; imdb; wikipedia,"What acress starred in both ""Third Person"" and ""From Here to Eternity""?","Given the fields question and summary_1, produce a single compact BM25-style second-hop query string (the field query) that will retrieve authoritative, version-specific cast/starring pages needed to determine which actress appears in both works. Follow this ordered local plan exactly: (1) disambiguate ambiguous titles if needed, (2) fetch the intended version’s cast/starring pages, (3) bias results toward top-billed female performers for quick intersection. Preserve the original title ..."
132,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,0.0,-1.0,2438,Selmasongs soundtrack credits Björk wikipedia,Selmasongs; Björk,Selmasongs; Björk,,imdb; wikipedia,"The soundtrack to 'Dancer in the Dark' is by what Icelandic singer, songwriter, actress, record producer, and DJ?","Given the fields `question` and `summary_1`, produce one compact BM25-style query for the second hop that will surface authoritative album/release-level pages verifying who is credited for the soundtrack (and, only if needed, confirming listed occupations). Follow these steps in order: 1. Detect soundtrack/album anchors in the inputs (tokens like ""Selmasongs"", ""Dancer in the Dark"", ""soundtrack"", artist name e.g. ""Björk""). If such anchors are present, switch to an album-credit query shape ..."
132,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,0.0,-1.0,1947,"Selmasongs"" ""Dancer in the Dark"" soundtrack credits Björk site:wikipedia.org",Selmasongs; Björk,Selmasongs; Björk,,site:; wikipedia,"The soundtrack to 'Dancer in the Dark' is by what Icelandic singer, songwriter, actress, record producer, and DJ?","Given the fields question and summary_1, produce a single compact BM25-style query optimized for the second hop that will retrieve an authoritative album/release page listing who is credited for the soundtrack (not a broad biography). Follow these ordered, sample-specific steps: 1. Preserve and use the work→soundtrack→artist ordering and concrete anchors from the sample: 'Selmasongs', 'Dancer in the Dark', 'Björk', 'soundtrack'. Prefer phrase-matching the album title when possible (e.g., put ..."
140,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,0.0,-1.0,4224,"George Danzer"" ""World Poker Tour",World Poker Tour,World Poker Tour,,wikipedia,When was the winner of the series of international poker tournaments started in 2002 by Steven Lipscomb who has also won four World Series of Poker bracelets born?,"Given the fields question and summary_1, produce a single, compact BM25 query optimized for the second hop that follows the ordered verification-and-extraction program below. Preserve the goal (confirm which World Poker Tour [WPT] champion matches the descriptor ""has four World Series of Poker bracelets"" and then extract that champion’s birth date) and prefer authoritative sources (wikipedia.org, worldpokertour.com, wsop.com, major news outlets). Follow these ordered steps and emit ONE ..."
140,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,0.0,-1.0,2853,"George Danzer ""World Poker Tour"" winner",World Poker Tour,World Poker Tour,,site:; wikipedia,When was the winner of the series of international poker tournaments started in 2002 by Steven Lipscomb who has also won four World Series of Poker bracelets born?,"Given the fields question and summary_1, produce one compact BM25 query optimized for the second hop that retrieves additional documents not captured in the first hop. Follow this ordered, sample-aware edit program (apply steps in order and pick the most appropriate shape): 1) If the summary names a candidate and you need to confirm that candidate’s association with the tournament brand, form a compact co‑occurrence query with the person’s full name first, then the exact tournament phrase. ..."
149,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,0.0,0.0,3169,hulder Huld Holda Frau Holle huldr etymology völva skogsrå Tallemaja ulda,Skogsrå; Hulder,Skogsrå; Hulder,,,A mythical forest creature that is seductive and from Sweden has the same being as what divine figure?,"Given the fields `question` and `summary_1`, produce a single compact BM25-style second-hop query (a short token list) optimized to retrieve authoritative philological/folklore evidence about identity/origin claims. Follow this ordered program when composing that one query: 1) Primary etymology step (first priority): target philological and folklore-reference pages that link the folkloric name to older divine/seer names. Favor the exact tokens 'etymology' or 'derivation' and the root-form ..."
149,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,0.0,0.0,1474,"hulder huldr Huld Holda Frau Holle völva etymology identity cognate comparative mythology ""originally the same being",Hulder,Hulder,,,A mythical forest creature that is seductive and from Sweden has the same being as what divine figure?,"Given the fields `question` and `summary_1`, produce a single compact BM25-style second-hop `query` (one short line) that retrieves concise etymology/encyclopaedic or comparative‑mythology passages establishing the identity link between the Swedish hulder and older divine/seer figures. Follow this ordered, sample-specific edit program when constructing the query: - Place the primary entity anchors first (in this order) to signal an identity/equivalence search: hulder huldr Huld Holda (or ..."
150,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,0.0,-1.0,1493,"2012 Wayne State Warriors football team"" OR ""Paul Winters (American football)"" Wayne State University",2012 Wayne State Warriors football team; Paul Winters (American football),2012 Wayne State Warriors football team; Paul Winters (American football),Paul Winters (American football),,What institution does 2012 Wayne State Warriors football team and Paul Winters have in common?,"Given question and summary_1, produce a single compact BM25 query optimized for the second hop that will surface the canonical season page and the coach bio and their short lead-sentence affiliation lines (to confirm the shared institution). Preserve these sample anchors: 2012 Wayne State Warriors football team, Paul Winters, Wayne State University. Avoid stadium/venue names (Tom Adams Field), conference/division tokens (GLIAC, NCAA Division II), extra season years (2011, 2016, 2017, etc.), ..."
150,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,1.0,0.0,1792,Paul Winters head coach 2012 Wayne State Warriors Wayne State University,,,,final answer,What institution does 2012 Wayne State Warriors football team and Paul Winters have in common?,"Given the fields `question` and `summary_1`, produce a single, compact BM25-style query optimized for the second hop that will surface short title/lead lines tying the coach and the specific season/team to the same school. Instructions (apply the local edits in order — final query must follow the last edit): - Role: generate one compact second-hop BM25 query (keyword-only, title/lead-shaped) — do NOT return an answer or analysis. - Preserve precise sample anchors and prefer exact-phrase ..."
169,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,0.0,-1.0,2094,"Bud Ekins"" ""Steve McQueen"" ""stunt double"" ""The Great Escape"" motorcycle stunt ""Stuntmen's Hall of Fame"" IMDb",Bud Ekins; Steve McQueen,Bud Ekins; Steve McQueen,,imdb,"What movie did ""the king of cool"" play in with Bud Ekins as his stunt double?","Given fields question and summary_1, produce the BM25-style second-hop query or queries optimized to retrieve authoritative film‑credit statements that confirm whether a named stunt performer served as a named actor’s stunt double for a specific film. Emit short, phrase-focused, conjunctive BM25 queries (not natural‑language questions). Keep queries compact and high‑precision; quoted anchors and exact phrases first, then a 1–2 token stunt qualifier, then 1–2 source‑type tokens to bias toward ..."
169,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,0.0,-1.0,1100,"Bud Ekins Steve McQueen ""The Great Escape"" stunt double motorcycle stunt credited credits filmography obituary ""Stuntmen's Hall of Fame",Bud Ekins; Steve McQueen,Bud Ekins; Steve McQueen,,,"What movie did ""the king of cool"" play in with Bud Ekins as his stunt double?","Given fields question and summary_1, produce a single compact BM25-style query optimized for the second hop that will confirm whether Bud Ekins doubled Steve McQueen for the motorcycle stunt in The Great Escape. Preserve the ordered anchors exactly: stuntman (Bud Ekins) first, actor (Steve McQueen — aka ""the king of cool"") second, then the film title (""The Great Escape""). Condense to short keyword/phrase tokens (no question words, no punctuation like ?, no full-sentence clauses). Restore an ..."
180,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,0.0,0.0,3059,Annihilator 11th studio album,,,,site:; wikipedia; final answer,What is the date of released for the eleventh studio album of the highest-selling heavy metal group from Canada?,"Given the fields question and summary_1, produce a single, compact BM25-style second-hop query string optimized for the next retrieval step according to the following ordered rules (preserve order and apply the first matching case): 1) Purpose of this hop (primary rule): If summary_1 does NOT already confirm both the target band identity (the “highest‑selling Canadian heavy metal group”) and the album title that is the band’s 11th studio album, this hop must be an ordinal‑confirmation query ..."
180,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,0.0,0.0,2234,Annihilator 11th studio album discography Wikipedia AllMusic Discogs,,,,site:; wikipedia,What is the date of released for the eleventh studio album of the highest-selling heavy metal group from Canada?,"Given the fields `question` and `summary_1`, produce a single compact BM25-style `query` optimized for the second retrieval hop that will confirm the target band and identify that band’s 11th studio-album title (so a later hop can fetch release-date details). Do NOT try to retrieve the release date in this hop. Required behavior and constraints: - Purpose & step order (must be preserved): first confirm the band identity (use the likely anchor Annihilator from the summary), second locate an ..."
227,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,1.0,0.0,3599,Evan Peters portrayed Quicksilver filmography cast X-Men: Days of Future Past X-Men: Apocalypse,Evan Peters,Evan Peters,,imdb; wikipedia,Evan Peters had a role as the fictional superhero from comic books by what publisher?,"Given the fields `question` and `summary_1`, produce a single compact BM25-style `query` optimized for the second hop. Your goal is to retrieve authoritative, short lines that bridge an onscreen actor to the canonical comic-book character identity (actor → character → comic identity), using the following ordered, conditional program applied in sequence to the sample anchors (e.g., Evan Peters, Quicksilver, Pietro Maximoff, X‑Men film titles, Marvel Comics): 1) Detect whether the summary ..."
227,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,1.0,0.0,2000,Evan Peters Quicksilver Pietro Maximoff Marvel Comics,Evan Peters,Evan Peters,,,Evan Peters had a role as the fictional superhero from comic books by what publisher?,"Given the fields `question` and `summary_1`, produce a single, compact BM25-style `query` optimized for the second hop. Your goal is to surface short, authoritative actor→role evidence (lead/infobox or cast lines) that links the onscreen performance to the comic‑book identity and publisher. Follow this ordered program (apply steps in sequence when constructing the final one-line query): 1. Preserve concrete anchors early and exactly: the actor ""Evan Peters"" and the character aliases ..."
262,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,1.0,0.0,3132,Kunihiko Tanaka character designer Xenoblade Chronicles X,Kunihiko Tanaka; Xenoblade Chronicles X,Kunihiko Tanaka; Xenoblade Chronicles X,,site:; wikipedia,Kunihiko Tanaka designed the characters for which video game developed by Monolith Soft ?,"Given the fields question and summary_1, produce a single compact BM25-style query optimized for the second hop that will retrieve authoritative credit pages confirming a designer credit for the target game. Ordered generation program (apply in sequence): 1) Primary (highest priority): construct a tight person+role+title query that places the person name before role keywords. - Shape: <PersonFullName> character designer <ExactGameTitle> - Example anchors to use for this sample: Kunihiko ..."
262,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,1.0,0.0,1040,"Kunihiko Tanaka character designer ""Xenoblade Chronicles X"" credits official site",Kunihiko Tanaka; Xenoblade Chronicles X,Kunihiko Tanaka; Xenoblade Chronicles X,,wikipedia,Kunihiko Tanaka designed the characters for which video game developed by Monolith Soft ?,"Given the fields question and summary_1, produce the single compact BM25-style second-hop query (field ""query"") that retrieves authoritative credit pages verifying the designer credit. For this sample preserve the person anchor ""Kunihiko Tanaka"" and follow this ordered token pattern exactly: (1) Kunihiko Tanaka (name first), (2) an explicit role token such as character designer or character design, (3) the exact game title ""Xenoblade Chronicles X"" (use quoting for the title if possible), ..."
247,prompt_update_onecall_R_to_q_to_p_steps_4,1.0,0.0,-1.0,1550,"site:ghanaweb.com OR site:joyonline.com OR site:change.org OR site:citinewsroom.com OR site:graphic.com.gh (""Occupy Ghana"" OR OccupyGhana OR #OccupyGhana OR NPP) (""online petition"" OR petition OR Change.org OR e-petition OR hashtag OR Twitter OR Facebook) (Guantanamo OR Gitmo OR ""ex-detainees"" OR Yemeni) (""January 2016"" OR 2016)",Occupy Ghana,Occupy Ghana,Occupy Ghana,site:,What is another name for the online protest that opposed the transfer of ex-detainees from Guantanamo Bay in 2016?,"Given the fields `question` and `summary_1`, produce a single compact BM25-style `query` optimized for the second hop to find an explicit named online campaign/hashtag or petition title that opposed the January 2016 transfer of Guantanamo ex‑detainees to Ghana. Preserve the anchors (OccupyGhana / ""Occupy Ghana"", NPP, Ghana, Guantanamo/Gitmo, Yemeni ex‑detainees) and the retrieval goal (an alternate name / hashtag / petition title). Constrain the query to local Ghana news and major ..."
247,prompt_update_twoturn_R_to_q_then_p_steps_4,1.0,0.0,-1.0,2779,"(OccupyGhana OR ""Occupy Ghana"" OR NPP OR ""New Patriotic Party"") AND Ghana AND (Guantanamo OR Gitmo) AND (""Jan 2016"" OR ""January 2016"") AND (GhanaWeb OR JoyOnline OR graphic.com.gh OR citinewsroom.com OR Change.org OR Twitter OR Facebook) AND (petition OR ""e-petition"" OR ""online petition"" OR ""online campaign"" OR ""online protest"" OR hashtag OR # OR tweet OR ""petition name"" OR called OR ""known as"" OR named OR dubbed OR tagged OR ""opposed transfer"")",Occupy Ghana,Occupy Ghana,Occupy Ghana,,What is another name for the online protest that opposed the transfer of ex-detainees from Guantanamo Bay in 2016?,"Given fields `question` and `summary_1`, produce one compact BM25-style query optimized for the second hop to retrieve an explicit name/alternate name/hashtag or petition title for the online protest that opposed the January 2016 transfer of ex‑detainees from Guantanamo to Ghana. Preserve the base role (one short second-hop query) and follow the ordered refinements below when composing the query: 1) Preserve core event and actor anchors up front: OccupyGhana (also allow the variant ""Occupy ..."
267,prompt_update_onecall_R_to_q_to_p_steps_4,0.0,0.0,0.0,1074,"Smallville (""created by"" OR creators OR writers OR ""writing credits"") Alfred Gough Miles Millar ""List of Smallville episodes"" Justin Hartley",Justin Hartley; Smallville,Justin Hartley; Smallville,,,"Who were the writers of an American television series based on the DC Comics character Superman, which starred an American actor known for his television roles that include Fox Crane on the NBC daytime soap opera ""Passions""?","Given fields `question` and `summary_1`, produce a single compact BM25-style second-hop `query` that retrieves authoritative series-level credit pages (not episode or individual-person pages) to fill gaps from the first hop. Preserve the show anchor 'Smallville' and the actor bridge 'Justin Hartley'. Insist on including the two primary creator names Alfred Gough and Miles Millar as high-weight tokens and add exact-credit pivots such as the quoted phrases ""created by"" and ""writing credits"" ..."
267,prompt_update_twoturn_R_to_q_then_p_steps_4,0.0,1.0,1.0,1576,"Smallville ""created by"" Alfred Gough Miles Millar Justin Hartley",Justin Hartley; Smallville,Justin Hartley; Smallville,,,"Who were the writers of an American television series based on the DC Comics character Superman, which starred an American actor known for his television roles that include Fox Crane on the NBC daytime soap opera ""Passions""?","Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop. Generate one compact BM25-style query (do not output a full answer). Follow these sample-specific constraints and the ordered edit program exactly: - Keep the show anchor first: use the series title ""Smallville"" (show title goes first). - Immediately follow the show title with a short quoted credit cue to force series-level authorship language, e.g., ""created by"" (or the single token: ..."
268,prompt_update_onecall_R_to_q_to_p_steps_4,0.5,0.5,0.0,2307,"Henry Green"" (novelist) biography occupations lead infobox ""Henry Vincent Yorke"" ""Party Going"" ""G. K. Chesterton"" biography occupations infobox",G. K. Chesterton; Henry Green,G. K. Chesterton; Henry Green,,,"Between G. K. Chesterton and Henry Green, who had more diverse job experiences?","Given question and summary_1, produce a single compact BM25 second‑hop query that targets lead/infobox biography lines (occupation lists + life dates) needed to compare job diversity. If the summary shows the target person “Henry Green” is missing or ambiguous, switch to an entity‑disambiguation / focused‑biography behavior and follow this ordered priority when composing the one query (place higher‑priority quoted exact names and identity tokens earlier so BM25 score mass favors them): 1) ..."
268,prompt_update_twoturn_R_to_q_then_p_steps_4,0.5,0.5,0.0,1203,"Henry Green Henry Vincent Yorke Party Going biography 1905 1973 novelist -""Joseph Henry Chesterton",Henry Green,G. K. Chesterton; Henry Green,,,"Between G. K. Chesterton and Henry Green, who had more diverse job experiences?","Given the fields `question` and `summary_1`, produce a single, compact BM25 query optimized for the second hop that will retrieve a concise biographical/infobox‑style lead listing occupations for the missing entity needed to compare job diversity. Follow this ordered local edit program exactly: 1) Narrow to one subject: center the query on the novelist Henry Green (do not use plain ""Henry"" and do not mix other Henrys). 2) Add disambiguating alias/work anchors in this order: the legal/pen ..."
