idx,current_mr,direct_delta_p_mr,direct_delta_p_delta_mr,listing_len,generality_score,locality_score,patterns,bad_patterns,title_hits,risky_titles,question,current_query,delta_p_excerpt
55,0.0,1.0,1.0,9193,5,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift,web_syntax; boolean_heavy; multi_query,Amsterdamned; Capital of the Netherlands,,What culture do both the Capital of the Netherlands and Amsterdamned have in common?,Amsterdam Dutch culture; Amsterdamned (1988) Dutch horror film Dick Maas Dutch cinema,"EDGE 0 Δp (R0_base -> Rmid_iter1_split0): TRIGGER: Question mentions both the city 'Amsterdam' (capital) and the film 'Amsterdamned' and asks what culture they share. PRESERVE_RULE: Keep the main entity anchors intact as retrieval seeds: the film title anchor (e.g., 'Amsterdamned') and the place anchor ('Amsterdam' / capital). Do not broaden these anchors into generic culture phrases at this stage. RESTORE_RULE: Reintroduce tight, disambiguating film metadata cues as retrieval signals: year token (e.g., 1988), nationality token ('Dutch' or 'Netherlands'), genre cue ('horror film' or 'film'), director name (e.g., 'Dick Maas'), and setting cue ('canals' or 'set in Amsterdam'). These cues should be present only as short, literal tokens or short phrases to surface an infobox/encyclopedic snippet. DROP_OR_AVOID_RULE: Remove or avoid broad, mixed-topic culture terms and lists that mix city/culture pages with general film lists (for example: 'Amsterdam Dutch culture' as a combined clause). Also avoid including extraneous film titles, long conjunctive clauses, boolean operators, or multiple parallel queries that invite noisy film-results. QUERY_SHAPE_RULE: Instruct the BM25 query to be ..."
60,0.0,1.0,1.0,9257,5,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta,web_syntax; boolean_heavy; multi_query,Hubble Space Telescope,,The telescope that observed the debris disk of HD 92945 was launched into low Earth orbit in what year?,Hubble Space Telescope STS-31 Space Shuttle Discovery launch date launch year,"EDGE 0 Δp (R0_base -> Rmid_iter2_split0): TRIGGER: Apply when the follow-up step must retrieve the launch year/date of a named space telescope (entity-centric attribute lookup: e.g., “which year was [TELESCOPE] launched?”). PRESERVE_RULE: Keep the canonical telescope name tokens (entity tokens such as 'Hubble Space Telescope' or the provided telescope name) and a single clear date-attribute token such as 'launch', 'launch date', or 'launch year'. Optionally keep a short contextual locator token like 'overview' or 'infobox' to favor summary pages. RESTORE_RULE: If initial retrieval returns many mission pages or instrument pages (e.g., pages listing multiple STS missions or instrument technical pages), remove mission-specific tokens and re-issue a compact entity+attribute query biased toward an authoritative telescope overview/summary (entity name + 'launch'/'launch year' + optional 'overview'/'infobox'). Do not add mission identifiers; prefer overview/summary cues instead. DROP_OR_AVOID_RULE: Avoid mission-specific and instrument tokens that create noise: remove tokens such as 'STS-31', 'STS-82', other 'STS-###' identifiers, 'Space Shuttle Discovery', shuttle/mission numbers, ..."
77,1.0,1.0,0.0,9569,5,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta,web_syntax; boolean_heavy; multi_query,Carlo's Bake Shop,,"The winner of the first season of ""Next Great Baker"" would win an apprenticeship at the bakery owned by who?",Next Great Baker season 1 winner Carlo's Bake Shop,"EDGE 0 Δp (R0_base -> Rmid_iter3_split0): TRIGGER: Apply when the question asks who owns (or is the owner of) a bakery that was offered as an apprenticeship prize for a specific season of a TV show. PRESERVE_RULE: Keep four retrieval anchors: the show title, the explicit season marker (e.g., 'season 1'), the bakery's proper name, and a prize relation token (words like 'apprenticeship', 'prize', 'grand prize'). Specify expected answer type: a single person-name (owner). RESTORE_RULE: If retrieval drifts to general series pages or bakery menus, reintroduce the prize phrasing and season constraint: demand season-level show sources (season page, episode/press release, news article) that state the winner received an 'apprenticeship' at the named bakery before pivoting to person biographies. DROP_OR_AVOID_RULE: Exclude noisy tokens that attract unrelated seasons or non-ownership prize details (other season numbers, monetary prizes, vehicle prizes, franchise/location-only pages, fan recaps). Avoid early reliance on broad biography pages; only pivot to person-focused sources after locating season-level evidence linking the prize to the bakery. QUERY_SHAPE_RULE: Instruct ..."
6,0.0,0.0,0.0,10048,4,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; entity_level_over_location_event; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; leakage_language,boolean_heavy; multi_query; leakage_language,Shenandoah River,,Smith Creek is a 35.5 mi tributary stream of the North Fork of a river that passes through which US states?,Shenandoah River North Fork flows through which states Virginia West Virginia Harpers Ferry,"EDGE 0 Δp (R0_base -> Rmid_iter1_split0): TRIGGER: When the question asks which U.S. states a parent river passes through and the current context supplies a tributary (e.g., 'Smith Creek' -> parent 'North Fork Shenandoah River'), apply this edit to produce the second-hop retrieval query. PRESERVE_RULE: Keep the precise parent-watercourse entity phrase (the fork-level name that identifies the immediate parent river) as a primary anchor token in the query (example form appears in the available inputs). RESTORE_RULE: Restore a downstream/confluence landmark token that links the fork to the river's lower course (use a well-known downstream place such as Harpers Ferry or the Potomac as a bridge clue) so the query signals interstate course information. DROP_OR_AVOID_RULE: Do not include explicit answer literals or a long list of candidate state names (e.g., avoid placing 'Virginia' and 'West Virginia' into the query as target tokens). Also avoid long natural-language phrasing, many local tributary or county names, and unrelated place/page tokens that commonly pull up small local pages. QUERY_SHAPE_RULE: Emit exactly one compact BM25-style keyword query composed of: (1) the fork-level ..."
90,1.0,1.0,0.0,10543,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Imiliya; Lumbini,,Imiliya is a town located in what pilgrimage site?,Imiliya Kapilvastu Lumbini Nepal Maya Devi Temple sacred garden monastic zone UNESCO coordinates proximity,"EDGE 0 Δp (R0_base -> Rmid_iter2_split0): TRIGGER: Question asks which pilgrimage site a named town is located in (town→pilgrimage containment question). PRESERVE_RULE: Keep the requirement that create_query_hop2 returns exactly one compact BM25 query string. Preserve the retrieval intent: obtain authoritative statements that identify the pilgrimage site and name its core landmarks/authority (answer type: pilgrimage site; role: Lumbini as pilgrimage/birthplace). RESTORE_RULE: Restore authoritative landmark and authority tokens and relation cues to the query: include terms that signal 'birthplace' relation and established authorities/landmarks (examples: birthplace, Siddhartha Gautama, Mayadevi Temple, Rummindei, UNESCO, pilgrimage). Prioritize place-type and authority phrases over raw proximity or coordinate tokens. DROP_OR_AVOID_RULE: Remove or avoid noisy local/place-specific tokens that belong to the side that will be verified in a separate hop: do NOT include the town name (Imiliya) or district/place-list tokens (Kapilvastu, Nepal, Basantapur, Manpur, Mahuwa, Hariharpur, Motipur), coordinate/proximity words ('coordinates', 'proximity', 'km', 'near'), travel-blog/forum cues, ..."
108,0.0,1.0,1.0,9851,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,,,Are Solo and La Croix Sparkling Water produced in the same country ?,Solo (soft drink) Australian lemon-flavoured carbonated drink produced in Australia manufacturer Schweppes Asahi,"EDGE 0 Δp (R0_base -> Rmid_iter1_split0): TRIGGER: When the next retrieval hop must resolve the production/origin country for a named beverage (a single-entity disambiguation used to compare countries), e.g., a follow-up asking whether 'Solo' and 'La Croix' are produced in the same country. PRESERVE_RULE: Keep the core entity name tokens and any tight regional disambiguator or parenthetical cue that resolves ambiguity (for example, the token indicating 'Australian' or a short parenthetical like '(Australian soft drink)'). Also retain the target country keyword as an anchor if present (e.g., 'Australia'). RESTORE_RULE: Reintroduce a concise evidence-type token such as 'country of origin', 'origin', or 'production' to steer retrieval toward an article lead/infobox or authoritative manufacturer page that states production/origin. DROP_OR_AVOID_RULE: Remove manufacturer/distributor tokens and global-brand tokens (e.g., 'Schweppes', 'Asahi') and unrelated flavor/brand terms that introduce noisy, global, or regionally different pages. Avoid multi-entity conjunctions, broad category words, and tokens that pull in unrelated beverage pages. QUERY_SHAPE_RULE: Produce exactly one compact ..."
82,0.0,1.0,1.0,11362,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; entity_level_over_location_event; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Clay County Savings Association Building; Bushwhacker,,"What type of criminals, named after a term from the Revolutionary War, were involved in the Clay County Savings Association Building robbery?","""Clay County Savings Association robbery"" 1866 Liberty Missouri Jesse James Archie Clement James–Younger Gang guerrillas bushwhackers partisans term origin Revolutionary War usage","EDGE 0 Δp (R0_base -> Rmid_iter3_split0): TRIGGER: Apply when the baseline query mixes the event title with many personal names, gang names, dates, and long etymology phrases and retrieval returns biography- or gang-heavy pages instead of a short label/definition for the perpetrators. PRESERVE_RULE: Keep compact event anchors and location tokens (the robbery name as an event anchor and the place 'Liberty, Missouri' or equivalent location token) and preserve a small candidate set of one-word perpetrator-label tokens (e.g., guerrillas, bushwhackers, partisans). RESTORE_RULE: If the upstream query removed the event anchor or candidate labels, restore: (1) the event anchor token(s) (robbery-event token + location token) and (2) the candidate-perpetrator label tokens. Add brief context tokens 'definition' and 'Civil War' (or 'Missouri') to bias toward short encyclopedia/dictionary lead lines about U.S. usage. DROP_OR_AVOID_RULE: Drop personal names, gang names, explicit dates, long chronology phrases, and deep etymology root words that produce biography- or history-heavy results. Avoid multi-entity conjunctions or long lists of actors that dilute signal (no full biographies, no gang ..."
118,0.5,0.5,0.0,10121,6,3,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; wrong_candidate_relaxation; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta,web_syntax; boolean_heavy; multi_query,,,"What acress starred in both ""Third Person"" and ""From Here to Eternity""?",Third Person (2013 film) cast; From Here to Eternity (1953 film) cast; From Here to Eternity (1979 miniseries) cast,"EDGE 0 Δp (R0_base -> Rmid_iter1_split0): TRIGGER: If the question asks which performer (actress) ‘starred in both’ two named works (two title entities given) and prior retrieval lacked authoritative cast lists or disambiguation. PRESERVE_RULE: Keep the relation cue ('starred in both' / overlap-of-cast) and answer type (person — actress). Treat the two named works as distinct entity roles: SOURCE_TITLE and TARGET_TITLE to be compared. RESTORE_RULE: Force disambiguation and versioning tokens for ambiguous titles and require 'cast' evidence: instruct the generator to append a disambiguation cue for any ambiguous title (example: treat 'Third Person' as 'Third Person' + disambiguation/listing) and to attach explicit release-year tokens (in parentheses) when a canonical year is likely or when multiple versions exist; require a 'cast' cue for each title so retrieved items are full cast/credit pages. DROP_OR_AVOID_RULE: Do not produce multi-target, semicolon-separated queries or list many variants in one query. Avoid retrieval emphasis on musical/live adaptations, unrelated disambiguation entries, or promotional pages. Do not use search-engine operators, site: hints, or long OR/AND ..."
132,0.0,0.0,0.0,10131,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Selmasongs; Björk,,"The soundtrack to 'Dancer in the Dark' is by what Icelandic singer, songwriter, actress, record producer, and DJ?","Björk Guðmundsdóttir biography birthdate occupations discography filmography ""Selmasongs"" soundtrack credits Vespertine production credits","EDGE 0 Δp (R0_base -> Rmid_iter3_split0): TRIGGER: Apply when the question asks who performed or who is credited for a film soundtrack (contains words like 'soundtrack', 'soundtrack to', film title, or album title). PRESERVE_RULE: Preserve entity anchors and relation cues already present in the input: album title (e.g., 'Selmasongs'), film title (e.g., 'Dancer in the Dark'), artist name (e.g., 'Björk'), and the relation cue 'soundtrack' or 'soundtrack by'. RESTORE_RULE: Reintroduce compact album-level bridge cues that point to an album/soundtrack page: prefer tokens such as 'soundtrack credits', 'credits', 'performed by', 'album', 'soundtrack listing', or 'credited to' alongside the album/film anchor. DROP_OR_AVOID_RULE: Remove noisy biography- and deep‑detail terms that pull in tours/books/discography pages: avoid tokens like 'biography', 'birthdate', 'occupations', 'discography', 'filmography', 'Vespertine', 'World Tour', 'book', 'list of songs', 'session musicians', 'label', or other release-format minutiae. Also avoid web-search operators or domain restrictions (no site:, OR, AND, boolean operators, quoted full-page titles). QUERY_SHAPE_RULE: Emit exactly one compact ..."
140,0.0,0.0,0.0,11311,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; entity_level_over_location_event; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,World Poker Tour,,When was the winner of the series of international poker tournaments started in 2002 by Steven Lipscomb who has also won four World Series of Poker bracelets born?,"George Danzer World Poker Tour champion OR ""List of World Poker Tour champions"" ""four World Series of Poker bracelets"" birth date São Paulo","EDGE 0 Δp (R0_base -> Rmid_iter1_split0): TRIGGER: When the next query must verify whether a named candidate person is a winner/champion of a named tournament series before extracting biographical details. PRESERVE_RULE: Keep the candidate-person anchor token(s) (the person's full name) and the entity role 'candidate person' in the prompt so the produced query pairs that person with an event-series anchor. RESTORE_RULE: Restore an explicit event-series anchor: require the canonical series name phrase and optional short-form acronym (e.g., 'World Poker Tour' and 'WPT') as retrieval cues to force pages that explicitly link the person to the series. DROP_OR_AVOID_RULE: Drop list-oriented or downstream-extraction tokens and noisy side entities that broaden or distract the search (examples to avoid: 'List of World Poker Tour champions', explicit birth-date/place tokens like '17 July 1983' or 'São Paulo', bracelet-count heuristics such as 'four World Series of Poker bracelets', other player names, and any site: or advanced-search operators). Do not prompt the model to copy page titles or literal support strings from retrieved passages. QUERY_SHAPE_RULE: Instruct the generator to emit ..."
149,0.0,1.0,1.0,10502,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Skogsrå; Hulder,,A mythical forest creature that is seductive and from Sweden has the same being as what divine figure?,Huld völva Holda Holle Germanic goddess origin of hulder skogsrå Tallemaja,"EDGE 0 Δp (R0_base -> Rmid_iter2_split0): TRIGGER: Apply when the question asks which divine/older figure is 'the same being as' or original identity of a named Swedish seductive forest-creature (mentions hulder / skogsrå or regional names). PRESERVE_RULE: Preserve core folkloric and name anchors and role cues: hulder, skogsrå, Huld, regional name examples (e.g., Tallemaja, ulda) and the role-token völva; preserve philological cue words such as etymology, origin, root, and the root-form variant huldr/huld as examples to guide retrieval focus. RESTORE_RULE: If the generated query omits philological role cues, reinsert at least one etymology marker (e.g., 'etymology' or 'origin') and the role marker 'völva'; if core anchors (hulder, skogsrå, Huld, Tallemaja, ulda) are dropped, restore them. If the generator drifts toward comparative/goddess terms, remove those and re-emphasize root/etymology + völva. DROP_OR_AVOID_RULE: Avoid comparative or broad cross-cultural tokens that invite Holda/Frau Holle or modern/noisy hits: drop or block tokens like Holda, Holle, Frau, goddess, Germanic, and named modern/cultural hits (e.g., Spillaholle, Gussy Holl) and numeric/listing identifiers. ..."
150,0.0,0.0,0.0,8685,3,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,,,What institution does 2012 Wayne State Warriors football team and Paul Winters have in common?,Paul Winters biography Wayne State University head coach Wayne State Warriors football program history Tom Adams Field GLIAC Detroit,"EDGE 0 Δp (R0_base -> Rmid_iter2_split0): TRIGGER: Apply when the goal is to identify a shared institutional affiliation between a specific team-season page and a named person (i.e., mapping a season/team entity and a coach/person to their university). PRESERVE_RULE: Keep only the core anchors: the season+team identifier (year + team name) and the person name. Preserve canonical program alias tokens (e.g., program nickname) only if they are identical to the anchors. RESTORE_RULE: Ensure the explicit full institution token (the university name) appears in the generated query when available. Add the institution token to reintroduce the bridge cue that ties team pages and coach bios to a single university. DROP_OR_AVOID_RULE: Remove noisy or distracting tokens: terms like 'biography', 'history', stadium/venue names, conference names, city names, other season years, historical aliases, and broad descriptive phrases that encourage multi-season or venue-focused hits. QUERY_SHAPE_RULE: Instruct the generator to emit one short, title/lead-targeted BM25 query composed only of the minimal set: {person name} + {season-team identifier} + {institution name}, using nouns/proper nouns only ..."
169,1.0,1.0,0.0,9780,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Bud Ekins; Steve McQueen,,"What movie did ""the king of cool"" play in with Bud Ekins as his stunt double?","Bud Ekins Steve McQueen stunt double Bullitt? ""The Great Escape"" motorcycle stunt details who performed jump stunt credits filming location","EDGE 0 Δp (R0_base -> Rmid_iter2_split0): TRIGGER: Question asks which movie the actor nicknamed ""the king of cool"" appeared in with Bud Ekins as his stunt double (mentions Steve McQueen / Bud Ekins / motorcycle stunt). PRESERVE_RULE: Keep the core retrieval anchors intact: the stunt-performer (Bud Ekins), the principal actor (Steve McQueen / 'the king of cool'), and the specific film anchor present in the question (The Great Escape). Preserve the target relation: 'stunt double' relationship tying Ekins to McQueen and to a motorcycle-stunt sequence. RESTORE_RULE: Restore focused bridge cues that guide authoritative confirmation: include a compact phrase for the stunt type ('motorcycle' or 'motorcycle jump') plus the relation cue 'stunt double' and light source-type anchors such as 'obituary', 'filmography', or 'Hall of Fame' to bias toward reputable credits/biography statements (use as keywords, not site filters). DROP_OR_AVOID_RULE: Remove noisy film or name distractors and fan/forum noise: drop unrelated film mentions (e.g., Bullitt) unless the question explicitly demands them, remove other stunt-performer names, technical motorcycle-model terms, filming-location chatter, and ..."
180,0.0,0.0,0.0,11361,4,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; wrong_candidate_relaxation; entity_level_over_location_event; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,,,What is the date of released for the eleventh studio album of the highest-selling heavy metal group from Canada?,"Annihilator discography ""11th studio album"" release date OR ""Annihilator"" ""11th album"" release date AND ""highest-selling Canadian heavy metal"" confirmation","EDGE 0 Δp (R0_base -> Rmid_iter1_split0): TRIGGER: This step must identify which studio album is the artist's 11th (confirm the album title/ordinal) before attempting any release-date lookup. PRESERVE_RULE: Keep the artist anchor (e.g., the band name appearing in the visible inputs) and a 'discography' / 'studio albums' cue. Preserve the explicit ordinal intention (11th / eleventh) so retrieval targets an ordered list or an album page that states '11th studio album.' RESTORE_RULE: If the outgoing prompt removed ordinal or discography anchors, restore an explicit ordinal token ('11th' or 'eleventh' or numeric '11') together with a 'discography' or 'studio albums' cue and an explicit 'studio' qualifier to exclude non‑studio releases. DROP_OR_AVOID_RULE: Remove release-date lookup terms, the 'highest-selling' confirmation clause, complex boolean operators, site-specific or search-engine syntax, and noisy type-words (EP, compilation, live, reissue, deluxe) that can cause miscounting or distract from identifying the 11th studio album. QUERY_SHAPE_RULE: Produce exactly one compact BM25 query string (single-line) formed from a minimal token set: [artist-token(s)] + [ordinal token ..."
227,1.0,1.0,0.0,9225,4,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; wrong_candidate_relaxation; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Evan Peters,,Evan Peters had a role as the fictional superhero from comic books by what publisher?,"Evan Peters Quicksilver Pietro Maximoff portrayal filmography ""X-Men: Days of Future Past"" ""X-Men: Apocalypse"" Marvel Comics","EDGE 0 Δp (R0_base -> Rmid_iter1_split0): TRIGGER: When the next query should confirm an actor->character link (actor portrayed X) before retrieving publisher/comic pages. PRESERVE_RULE: Keep the core entity tokens: actor name (e.g., 'Evan Peters') and character name(s)/aliases (e.g., 'Quicksilver', 'Pietro Maximoff'). Do not drop these anchors or replace them with generic descriptions. RESTORE_RULE: Restore role-link and evidence-type cues that elicit cast/filmography lines: include role-verbs/phrases such as 'portrayed', 'portrayer', 'credited', or 'cast' and terms signaling authoritative film-credit sources such as 'filmography', 'cast list', or 'credited as'. These tokens must appear in the query to prioritize actor->role evidence. DROP_OR_AVOID_RULE: Remove or avoid publisher/comics-targeting tokens and noisy series/disambiguation tokens (for example: 'Marvel Comics', comic-series names, 'All‑New X‑Men', 'Classic X‑Men', disambiguation labels, fan wikis). Also avoid broad filmography-noise (full biography tokens) that do not mention the specific role. QUERY_SHAPE_RULE: Produce exactly one compact BM25-style query string: a single line of space-separated keywords ordered to ..."
247,0.0,0.0,0.0,9858,1,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Occupy Ghana,Occupy Ghana,What is another name for the online protest that opposed the transfer of ex-detainees from Guantanamo Bay in 2016?,OccupyGhana online protest name hashtag 2016 Ghana transfer Guantanamo Yemeni ex-detainees,"EDGE 0 Δp (R0_base -> Rmid_iter3_split0): TRIGGER: When the question asks for an alternate name, campaign title, or hashtag for an online protest opposing the Jan 2016 transfer of ex-detainees to Ghana (e.g., 'another name for the online protest that opposed the transfer...'). PRESERVE_RULE: Keep core event and actor anchors as ordinary tokens: OccupyGhana, Ghana, Guantanamo (or Gitmo), 2016, Yemeni (ex-)detainees. These must remain in the query to maintain event specificity. RESTORE_RULE: Restore digital-campaign bridge cues to bias retrieval toward local news and petition pages: include one bridge token such as petition OR hashtag OR online OR 'e-petition' and optionally one or two platform words (GhanaWeb, JoyOnline, Change.org, OccupyGhana) as plain keywords. Do NOT use search-engine site: syntax—use platform names only as tokens. DROP_OR_AVOID_RULE: Remove tokens that lead to noisy Gitmo lists and biographies: drop words like list, timeline, biography, detainee names (Obaidullah, Inayatullah), 'hunger strike', and other generic Gitmo-list/timeline terms. Avoid long enumerations or tokens tied to global Gitmo lists. QUERY_SHAPE_RULE: Produce a single compact BM25-style ..."
267,0.0,1.0,1.0,9605,3,3,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; entity_level_over_location_event; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Smallville,,"Who were the writers of an American television series based on the DC Comics character Superman, which starred an American actor known for his television roles that include Fox Crane on the NBC daytime soap opera ""Passions""?","Smallville writing credits Alfred Gough Miles Millar Kelly Souders Brian Peterson Todd Slavkin Darren Swimmer ""List of Smallville episodes"" writers","EDGE 0 Δp (R0_base -> Rmid_iter3_split0): TRIGGER: Apply when the question requests the writers/creators of a TV show (named) and mentions an actor as a casting/bridge clue (actor role or credits). PRESERVE_RULE: Keep the show title and the actor anchor; preserve a show-type cue ('TV series') and a credit-seeking cue ('created by' / 'writing credits' / 'writers') and retain primary creator names if they already appear in inputs. RESTORE_RULE: If prior queries or instructions list many individual staff names or episode pages, restore focus to series-level evidence by instructing: emphasize 'TV series' + credit cue, consolidate to primary creators (max two names) rather than enumerating secondary writers, and keep the actor only as a bridge to confirm casting. DROP_OR_AVOID_RULE: Drop episode-level identifiers and single-episode pages (Pilot, Finale, etc.), long enumerations of secondary writer names, fan wikis or actor filmography pages that do not state series-level credits, and any search-engine operators; avoid person-pages that are not clearly creator bios. QUERY_SHAPE_RULE: Require a single, compact BM25 query: show-title + one show-type token (e.g., TV series) + one ..."
262,1.0,1.0,0.0,9479,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Kunihiko Tanaka; Xenoblade Chronicles X,,Kunihiko Tanaka designed the characters for which video game developed by Monolith Soft ?,Kunihiko Tanaka credits list Monolith Soft Xenosaga KOS-MOS character design,"EDGE 0 Δp (R0_base -> Rmid_iter2_split0): TRIGGER: applies when the question asks which game a named character designer (person) worked on for a named developer or series PRESERVE_RULE: Always preserve the designer's full name token (e.g., 'Kunihiko Tanaka') as an anchor in the query. RESTORE_RULE: Restore or insert the precise target game title (if present in the task context) plus a bridge cue indicating staff/credits (use tokens like 'credits' or 'character designer' or 'staff'). If the exact title is not present, combine the developer name (e.g., 'Monolith Soft') with the bridge cue and the designer name. DROP_OR_AVOID_RULE: Remove noisy series- or character-specific tokens that pull unrelated franchise pages (examples: 'Xenosaga', 'KOS-MOS', 'Xenogears') and avoid generic biography-only tokens that surface filmography pages instead of game credits. QUERY_SHAPE_RULE: Emit exactly one compact BM25-style keyword bag (single-line, no boolean operators, no punctuation-heavy modifiers). Prioritize this token order optionally: <designer name> <exact game title OR developer> <credits|character designer|staff>. Keep query short (3–6 high-value tokens), no multi-query programs, no ..."
268,0.5,0.5,0.0,10774,4,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,boolean_heavy; multi_query; leakage_language,G. K. Chesterton; Henry Green,,"Between G. K. Chesterton and Henry Green, who had more diverse job experiences?","Henry Green novelist Henry Vincent Yorke biography occupations OR ""Henry Green (novelist)"" occupations biography; ""G. K. Chesterton"" biography occupations journalist novelist poet critic lay theologian","EDGE 0 Δp (R0_base -> Rmid_iter3_split0): TRIGGER: When a comparison question asks which of two people had more diverse jobs but one person (the second named individual) is missing or ambiguous in current retrievals (e.g., comparing G. K. Chesterton vs Henry Green and Henry Green is not resolved). PRESERVE_RULE: Keep the hop's retrieval intent framed as a comparison: this hop must fetch biographical/occupation evidence only for the missing subject so the overall task can compare job diversity; retain the other person (G. K. Chesterton) as the comparison endpoint in the surrounding context but do not query for that person in this hop. RESTORE_RULE: Restore explicit disambiguation cues for the missing subject by requiring canonical alias/pen-name tokens and a signature-work or role token (examples: Henry Vincent Yorke, Party Going, novelist, biography) so returned pages are candidate disambiguation or lead biography paragraphs. DROP_OR_AVOID_RULE: Avoid including tokens that mix subjects or introduce similarly named people: do not include G. K. Chesterton tokens in this hop, avoid bare single-name tokens like 'Henry', and avoid tokens associated with other Henrys (for example ..."
